Feature_GID,T0,T1,T3,T6,T24
Sto_127940,3.280322,13.645716,16.580252,16.253748,11.451548
Sto_237240,4.251589,15.738817,17.059939,15.602301,12.247262
Sto_021250,4.521884,16.737020,17.005595,15.890685,12.091347
Sto_377810,1.272215,13.777765,13.420618,11.022942,6.828945
Sto_299030,1.987348,9.485235,13.795574,13.694250,4.482646
Sto_389930,3.370966,13.674583,13.872510,12.203627,8.050408
Sto_133220,2.355924,11.711033,12.765048,11.953052,8.869354
Sto_168750,7.784471,17.405001,18.165654,16.623913,12.512419
Sto_351660,6.216685,14.779412,16.560373,16.033974,13.584058
Sto_058220,2.664540,12.856802,12.921669,11.960660,9.665258
Sto_132020,4.064701,14.886644,14.265564,13.163445,9.750188
Sto_020410,5.353101,16.817762,15.360324,13.226899,10.342122
Sto_262950,2.321464,13.114791,12.162256,10.356158,7.855697
Sto_208550,2.914721,11.553998,12.644806,12.351972,7.998014
Sto_132040,7.751724,13.955008,17.128206,17.003319,14.580787
Sto_020420,6.371901,16.978136,15.583604,13.830621,10.386763
Sto_132000,6.635827,16.719156,15.715143,14.300689,10.541403
Sto_004960,2.649239,5.035847,11.690979,11.943483,9.295490
Sto_194990,7.106828,14.502591,16.139206,15.428068,12.525160
Sto_227450,4.359210,12.870213,13.388813,13.098008,12.957637
Sto_202690,6.004953,11.875856,15.027640,14.007361,11.714072
Sto_117480,5.363230,14.400279,14.377097,13.310840,9.636396
Sto_124450,4.479502,14.547025,13.438074,11.256719,7.981988
Sto_222790,4.622729,13.549398,13.524138,12.479272,10.147901
Sto_225290,1.894086,10.565701,10.660732,9.135813,9.248016
Sto_275290,7.140265,15.520982,15.887800,15.352328,9.877160
Sto_036760,1.722935,5.296926,10.209095,10.611926,9.023845
Sto_262960,4.461536,14.546201,12.800368,11.353981,9.302025
Sto_274150,6.472415,11.978497,14.779374,14.186117,9.916254
Sto_304190,7.394023,10.659159,15.700645,15.826108,11.494418
Sto_117820,3.990456,15.438217,12.265601,11.139558,7.659344
Sto_173500,7.459078,11.748102,15.717142,16.420836,11.182641
Sto_351640,8.231371,15.988296,16.433585,15.220390,12.999075
